ID,Tittle,ActivityType,Param1,DayIndex,ValueRequired,StatusType,Score,AwardID,AwardCount,Desc
39,学习技能,sdaOpenning,0,0,3,0,10,91189,1,学习3个技能
40,紧急任务,sdaOpenning,10000345,0,2,0,10,80011,3,完成2个紧急任务
41,提升等级,sdaOpenning,0,1,30,0,10,91184,1,等级提升至30级
42,组队战斗,sdaOpenning,0,1,3,0,10,80202,1,进行3次组队
43,九层妖塔,sdaOpenning,10000357,1,2,0,10,1370209,1,挑战2次九层妖塔
44,铭文洗练,sdaOpenning,0,1,1,0,10,91189,1,进行1次铭文洗练
45,猎魔任务,sdaOpenning,10000346,1,2,0,10,80011,5,完成2个猎魔任务
46,提升等级,sdaOpenning,0,2,33,0,15,91184,1,等级提升至33级
47,加入公会,sdaOpenning,0,2,1,1,10,80203,1,加入公会
48,挑战幽冥海,sdaOpenning,10000351,2,2,0,10,1370209,2,挑战2次幽冥海
49,学习技能,sdaOpenning,0,2,5,0,15,91189,1,学习5个技能
50,猎魔任务,sdaOpenning,10000347,2,5,0,10,80011,8,完成5次猎魔任务
51,提升等级,sdaOpenning,0,3,35,0,15,91184,1,等级提升至35级
52,添加好友,sdaOpenning,0,3,10,0,10,80203,1,添加10名好友
53,经验武斗场,sdaOpenning,10000352,3,1,0,10,1370209,3,参与1次经验武斗场
54,铭文洗练,sdaOpenning,0,3,5,0,10,91189,1,进行5次铭文洗练
55,猎魔任务,sdaOpenning,10000348,3,10,0,15,80011,10,完成10个猎魔任务
56,提升等级,sdaOpenning,0,4,37,0,15,91184,2,等级提升至37级
57,组队战斗,sdaOpenning,0,4,10,0,10,80201,1,进行10次组队
58,屠魔大厅,sdaOpenning,10000353,4,2,0,10,1370209,3,挑战2次屠魔大厅或屠魔秘境
59,达成成就,sdaOpenning,0,4,500,0,15,91189,2,达成500点成就
60,史诗任务,sdaOpenning,10000350,4,3,0,15,80011,12,完成3个史诗任务
61,提升等级,sdaOpenning,0,5,39,0,20,91184,2,等级提升至39级
62,提升好感度,sdaOpenning,0,5,1,0,10,80202,1,拥有1名好感度300以上的好友
63,蜘蛛长廊,sdaOpenning,10000354,5,2,0,10,1370209,4,挑战2次蜘蛛长廊
64,特权福利,sdaOpenning,0,5,1,1,15,91189,2,开启玛法特权
65,紧急任务,sdaOpenning,10000358,5,12,0,10,80011,15,完成12个紧急任务
66,提升等级,sdaOpenning,0,6,40,0,20,91184,2,等级提升至40级
67,提升好感度,sdaOpenning,0,6,5,0,15,80203,1,拥有5名好感度300以上的好友
68,挑战魔虫窟,sdaOpenning,10000355,6,2,0,10,1370209,4,挑战2次魔虫窟
69,达成成就,sdaOpenning,0,6,1000,0,15,91189,2,达成1000点成就
70,猎魔任务,sdaOpenning,10000349,6,15,0,10,80011,20,完成15个猎魔任务
